Page,Title,Authors,Year,Citations,Google Scholar Link
2510,N/A,N/A,N/A,0,https://scholar.google.com/scholar?q=+intitle:'Prosedur Pemeriksaan MRI Brain pada Kasus Trigeminal Neuralgia di Instalasi Radiologi RSUD Provinsi NTB'
2510,N/A,N/A,N/A,0,https://scholar.google.com/scholar?q=+intitle:'Peranan Sekuen Diffusion Weighted Imaging (DWI) Pada Pemeriksaan MRI Soft Tissue Leher Kasus Kanker Nasofaring (Studi Literatur)'
2511,N/A,N/A,N/A,0,https://scholar.google.com/scholar?q=+intitle:'Persepsi Masyarakat Atas Penggunaan Transportasi Online (Studi Kasus Di Kota Bima)'
2511,N/A,N/A,N/A,0,https://scholar.google.com/scholar?q=+intitle:'SCREENING STATUS NUTRISI DAN EDUKASI GIZI SEIMBANG PADA ANAK SEKOLAH DASAR DI KELURAHAN KUMBE KEC. RASANAE TIMUR KOTA BIMA NUSA TENGGARA BARAT'
2511,N/A,N/A,N/A,0,https://scholar.google.com/scholar?q=+intitle:'Faktor Yang Mempengaruhi Pengetahuan Ibu Tentang Stunting Pada Balita di Puskesmas Rasanae Timur Kota Bima'
2511,N/A,N/A,N/A,0,https://scholar.google.com/scholar?q=+intitle:'Use of herbal medicine to treat complaints during pregnancy'
2511,N/A,N/A,N/A,0,https://scholar.google.com/scholar?q=+intitle:'Gambaran Pengetahuan Ibu Hamil Primigravida Tentang Perawatan Bayi Baru Lahir Di Kelurahan Dodu Wilayah Kerja Puskesmas Rasana’e Timur Kota Bima'
2511,N/A,N/A,N/A,0,https://scholar.google.com/scholar?q=+intitle:'Gambaran Pengetahuan Ibu Tentang Bahaya Penggunaan Bedak Pada Bayi Usia 0-12 Bulan Di Desa Sumi Wilayah Kerja Puskesmas Lambu'
2511,N/A,N/A,N/A,0,https://scholar.google.com/scholar?q=+intitle:'DETERMINAN KEJADIAN STUNTING PADA BALITA'
2511,N/A,N/A,N/A,0,https://scholar.google.com/scholar?q=+intitle:'KORELASI FAKTOR DEMOGRAFI TERHADAP KEJADIAN STUNTING'
2511,N/A,N/A,N/A,0,https://scholar.google.com/scholar?q=+intitle:'Faktor yang Mempengaruhi Pelaksanaan Inisiasi Menyusu Dini (IMD)'
2511,N/A,N/A,N/A,0,https://scholar.google.com/scholar?q=+intitle:'The quality of life assessment of breast cancer patients'
2512,N/A,N/A,N/A,0,https://scholar.google.com/scholar?q=+intitle:'Penentuan harga jual rumah subsidi melalui akad murabahah pada PT. Bank NTB Syariah kantor cabang Pejanggik'
2512,N/A,N/A,N/A,0,https://scholar.google.com/scholar?q=+intitle:'Penurunan Aktivitas Biofilm Strain MRSA 22156 oleh Tanaman Saga (Abrus precatorius L.)'
2512,N/A,N/A,N/A,0,https://scholar.google.com/scholar?q=+intitle:'Characteristics of Methicillin-Resistant Staphylococcus aureus (MRSA) and Methicillin Sensitive Staphylococcus aureus (MSSA) and their inhibitory response by ethanol extract of …'
2512,N/A,N/A,N/A,0,https://scholar.google.com/scholar?q=+intitle:'Characteristics of Methicillin Resistant Staphylococcus aureus (MSSA) and their inhibitory response by ethanol extract of Abrus precatorius'
2512,N/A,N/A,N/A,0,https://scholar.google.com/scholar?q=+intitle:'Characteristics of Methicillin-Resistant Staphylococcus aureus (MRSA) and Methicillin Sensitive Staphylococcus aureus (MSSA) and their inhibitory response by ethanol extract of …'
2512,N/A,N/A,N/A,0,"https://scholar.google.com/scholar?q=+intitle:'Aktivitas Inhibisi Ekstrak Etil Asetat Dan Etanol Daun Abrus Precatorius l. Terhadap Pembentukan Biofilm Dan Ekspresi Gen Icaa Dan Icad Bakteri Mrsa 22372, Mssa 22187 Dan Mssa …'"
2512,N/A,N/A,N/A,0,"https://scholar.google.com/scholar?q=+intitle:'Aktivitas Inhibisi Ekstrak Etil Asetat Dan Etanol Daun Abrus Precatorius l. Terhadap Pembentukan Biofilm Dan Ekspresi Gen Icaa Dan Icad Bakteri Mrsa 22372, Mssa 22187 Dan Mssa …'"
2512,N/A,N/A,N/A,0,https://scholar.google.com/scholar?q=+intitle:'Antimicrobial Activity of Ethanol Extract of Abrus precatorius L. Roots against Planktonic Cells and Biofilm of Urine and Blood Methicillin Sensitive Staphylococcus aureus …'
2512,N/A,N/A,N/A,0,https://scholar.google.com/scholar?q=+intitle:'Pengaruh Corporate Social Responsibility Terhadap Nilai Perusahaan Dengan Prosentase Kepemilikan Manajemen Sebagai Variabel Moderating (Studi Empiris Pada Perusahaan Yang …'
2512,N/A,N/A,N/A,0,https://scholar.google.com/scholar?q=+intitle:'Antimicrobial Activity of Ethanol Extract of Abrus precatorius L. Roots against Planktonic Cells and Biofilm of Urine and Blood Methicillin Sensitive Staphylococcus aureus …'
2515,N/A,N/A,N/A,0,https://scholar.google.com/scholar?q=+intitle:'FAKTOR-FAKTOR YANG BERHUBUNGAN DENGAN KEJADIAN SCABIES PADA SANTRI'
2515,N/A,N/A,N/A,0,https://scholar.google.com/scholar?q=+intitle:'Survey Kesadaran dan Akses Informasi Tentang Kesehatan Mental Pada Remaja di Wilayah Kerja UPTD Puskesmas III Denpasar Utara'
2515,N/A,N/A,N/A,0,https://scholar.google.com/scholar?q=+intitle:'Fluid restriction in hemodialysis patients with chronic kidney disease in RSUP Dr. Mohammad Hoesin Palembang'
2515,N/A,N/A,N/A,0,https://scholar.google.com/scholar?q=+intitle:'Penerapan Thermotherapy dan Aromatherapy Lavender terhadap Penurunan Skala Nyeri pada Pasien Sindrom Koroner Akut'
